id,name,address,tel,fax,user_id,created_at,updated_at,region_id,facebook,email,website
1,Tadika Rama-Rama Bestari (S7),"Seksyen 7 Worldwide, Shah Alam, Selangor, Malaysia
",355130053,,1,8/1/15 13:09,8/1/15 13:09,1,NULL,NULL,NULL
2,Tadika Rama-Rama Bestari (s19),NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
3,Tadika Khalifah Taqwa,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
4,Tadika Rama-Rama Bestari (Denai Alam),NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
5,Kuala Selangor,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
6,Tadika Rama-Rama Bestari (Sepang),NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
7,Tadika Rama-Rama Bijak,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
8,Tadika Visi Khalifah,,,,,,,,,,
9,Tadika Insan Sinar,,,,,,,,,,
10,Tadika Cilik Inovatif,,,,,,,,,,
11,Tadika Manja Kreatif,,,,,,,,,,
12,Tadika Khalifah Ilmu,,,,,,,,,,
13,Tadika Didikan Soleh,,,,,,,,,,
14,Tadika Khalifah Ikhlas,,,,,,,,,,
15,Tadika Khalifah Budi,,,,,,,,,,
16,Tadika Khalifah Anakku Soleh,,,,,,,,,,
17,Tadika Chilik Comel,,,,,,,,,,
18,Tadika Graduan Khalifah,,,,,,,,,,
19,Tadika Khalifah Cahaya Iman,,,,,,,,,,
20,Tadika Cahaya Raudah (Taman Cahaya),,,,,,,,,,
21,Tadika Cahaya Raudah (Taman Kosas),,,,,,,,,,
22,Tadika Mukmin Pintar,,,,,,,,,,
23,Tadika Khalifah Didik (Pandan Indah),,,,,,,,,,
24,Tadika Khalifah Didik (Taman Dagang),,,,,,,,,,
25,Tadika Cahaya hati,,,,,,,,,,
26,Tadika Khalifah Didik (Pandan Indah),,,,,,,,,,
27,Tadika Khalifah didik (Pandan Mewah),,,,,,,,,,
28,Tadika Khalifah Kecil (S3),,,,,,,,,,
29,Tadika Khalifah Kecil (S7),,,,,,,,,,
30,Tadika Khalifah Kecil (S8),,,,,,,,,,
31,Tadika Bestari Impiana,,,,,,,,,,
32,Tadika Khalifah Kecil (Bangi),,,,,,,,,,
33,Tadika Seri Khalifah,,,,,,,,,,
34,Tadika generasi minda Intelek,,,,,,,,,,
35,Tadika Puncak bestari,,,,,,,,,,
36,Tadika Little Carliph Puncak Utama,,,,,,,,,,
37,Tadika Arif Saujana,,,,,,,,,,
38,Tadika Khalifah emas,,,,,,,,,,
39,Tadika Anakku Hebat Anakku Soleh,,,,,,,,,,
40,Tadika Kembara Khalifah,,,,,,,,,,
41,Tadika Integrasi Khalifah,,,,,,,,,,
42,Tadika Sahsiah Khalifah,,,,,,,,,,
43,Tadika rama-rama Impian Dua,,,,,,,,,,
44,Tadika Manja Kreatif,,,,,,,,,,
45,Tadika Khalifah Muda,,,,,,,,,,
46,Tadika Khalifah Makmur,,,,,,,,,,
47,Tadika Khalifah Nur Iman,,,,,,,,,,
48,Tadika rama-Rama Pintar,,,,,,,,,,
49,Tadika Khalifah Puncak Alam,,,,,,,,,,
50,Tadika Khalifah bestari,,,,,,,,,,
51,Tadika Khalifah Damai,,,,,,,,,,
52,Tadika Khalifah Mentari,,,,,,,,,,
53,Little Carliph Taman Medan,,,,,,,,,,
54,Tadika Destinasi Iman,,,,,,,,,,
55,Tadika fahim Iman,,,,,,,,,,
56,Tadika Restu Ibu,,,,,,,,,,
57,Tadika Nur Islah,,,,,,,,,,
58,Tadika Kasih Khalifah,,,,,,,,,,
59,Tadika Permata Khalifah,,,,,,,,,,
60,Tadika khalifah Alaf baru,,,,,,,,,,
61,Tadika Khalifah Taqwa,,,,,,,,,,
62,Tadika Peribadi Khalifah,,,,,,,,,,
63,Tadika Inovasi Ceria,,,,,,,,,,
64,Tadika Cahaya Khalifah,,,,,,,,,,
65,Tadika Manja Kreatif,,,,,,,,,,
66,Tadika Anak bestari Platinium,,,,,,,,,,
67,Tadika rama-Rama gemilang,,,,,,,,,,
68,Tadika Khalifah Impian,,,,,,,,,,
69,Tadika Damai,,,,,,,,,,
70,Tadika Pelangi Khalifah,,,,,,,,,,
71,Tadika Khalifah Cilik,,,,,,,,,,
72,Tadika Khalifah Mutiara,,,,,,,,,,
73,Tadika Khalifah Alam,,,,,,,,,,
74,Tadika Khalifah genius,,,,,,,,,,
75,Tadika Khalifah Cerdik,,,,,,,,,,
76,Tadika Khalifah Kreatif,,,,,,,,,,
77,Tadika Nur Kejora,,,,,,,,,,
78,Tadika Puncak Jalil,,,,,,,,,,
79,Tadika Nur Iman,,,,,,,,,,
80,Tadika bahtera Merdeka,,,,,,,,,,
81,Tadika Sejuta Bintang,,,,,,,,,,
82,Tadika Lagenda,,,,,,,,,,
83,Tadika Khalifah genius,,,,,,,,,,
84,Tadika Khalifah Delima,,,,,,,,,,
85,Tadika Khalifah Ummi,,,,,,,,,,
86,Tadika Khalifah Cahaya Ummi,,,,,,,,,,
87,Tadika Neurokhalifah Islam,,,,,,,,,,
88,Tadika Duta Iman,,,,,,,,,,
89,Tadika Professor Cilik,,,,,,,,,,
90,Tadika Khalifah Soleh,,,,,,,,,,
91,Tadika Khalifah Mukmin,,,,,,,,,,
92,Tadika Husna Ilmiah,,,,,,,,,,
93,Tadika Khalifah Cahaya Pelangi,,,,,,,,,,
94,Tadika Pemikir Cilik,,,,,,,,,,
